Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-12-01 16:09:40Z : PB = 405139456 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:40Z : PB = 395190272 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:40Z : PB = 395190272 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:40Z : PB = 395190272 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:40Z : PB = 395190272 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:40Z : PB = 395190272 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:40Z : PB = 395198464 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:40Z : PB = 395198464 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:40Z : PB = 395198464 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:41Z : PB = 396525568 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:41Z : PB = 396591104 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:41Z : PB = 396722176 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:41Z : PB = 396787712 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:41Z : PB = 396853248 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:41Z : PB = 396058624 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:41Z : PB = 396058624 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:41Z : PB = 396058624 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:41Z : PB = 399650816 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:41Z : PB = 399650816 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:41Z : PB = 399650816 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:41Z : PB = 399650816 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:41Z : PB = 399650816 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:41Z : PB = 399659008 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:41Z : PB = 399659008 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:41Z : PB = 399659008 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:41Z : PB = 405209088 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:41Z : PB = 405340160 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:41Z : PB = 405405696 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:41Z : PB = 405471232 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:41Z : PB = 405602304 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:41Z : PB = 403050496 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:41Z : PB = 403050496 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:41Z : PB = 403050496 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:41Z : PB = 406556672 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:41Z : PB = 406556672 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:41Z : PB = 406556672 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:41Z : PB = 406556672 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:41Z : PB = 406556672 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:41Z : PB = 406556672 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:41Z : PB = 406556672 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:41Z : PB = 406556672 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:41Z : PB = 409944064 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:41Z : PB = 409944064 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:41Z : PB = 409944064 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
